id,text,product_area,customer_segment,channel,sentiment
fb-020,"Filtering the activity feed by user and action would make security reviews much easier.",activity_feed,enterprise,customer_call,neutral
fb-021,"We need an immutable audit log export to complete our annual compliance review.",audit_logs,enterprise,customer_call,neutral
fb-022,"The audit log only goes back 90 days on our plan, while our policy requires one year of history.",audit_logs,enterprise,support_ticket,negative
fb-023,"SAML setup was smooth in our test workspace, but we need group-to-role mapping before enabling it company-wide.",single_sign_on,enterprise,customer_call,neutral
fb-024,"SCIM deprovisioning takes too long, leaving former employees with access for several hours.",user_provisioning,enterprise,support_ticket,negative
fb-025,"Please support multiple identity providers because our acquired subsidiary uses a separate Okta tenant.",single_sign_on,enterprise,email,neutral
fb-026,"Mandatory two-factor authentication at the workspace level is a blocker for our security team.",authentication,mid_market,customer_call,negative
fb-027,"The new dashboard loads much faster than the old one, especially when several charts share the same date range.",dashboards,mid_market,survey,positive
fb-028,"Dashboards with more than twelve charts still take nearly a minute to become interactive.",dashboards,enterprise,support_ticket,negative
fb-029,"Refreshing one dashboard tile currently refreshes every tile, which wastes time when validating a single metric.",dashboards,mid_market,in_app,negative
fb-030,"It would help to add a presentation mode that hides editing controls during executive reviews.",dashboards,enterprise,survey,neutral
fb-031,"Scheduled dashboard emails are useful, but the PDF cuts off legends on wide charts.",scheduled_reports,mid_market,support_ticket,negative
fb-032,"Let us choose a timezone per scheduled report so regional teams receive daily numbers for their local day.",scheduled_reports,enterprise,customer_call,neutral
fb-033,"The date picker resets when I navigate back from a detail view, forcing me to recreate the comparison.",reporting,small_business,in_app,negative
fb-034,"Custom fiscal quarters would make the reporting views usable for our finance organization.",reporting,enterprise,customer_call,neutral
fb-035,"The mobile app is good for checking alerts, but opening a dashboard often shows a blank screen on Android.",mobile,mid_market,support_ticket,negative
fb-036,"Please add biometric login to the mobile app; typing a long SSO password on every launch is frustrating.",mobile,enterprise,in_app,negative
fb-037,"On iPad, chart tooltips appear off screen when the device is in split-view mode.",mobile,small_business,support_ticket,negative
fb-038,"A compact mobile view for approving workflow runs would help managers respond while away from their desks.",mobile,mid_market,survey,neutral
fb-039,"Comments are easy to miss because mentions only appear in the in-app inbox and not by email.",collaboration,mid_market,support_ticket,negative
fb-040,"We need to resolve comment threads so old discussions do not remain mixed with current review feedback.",collaboration,small_business,in_app,neutral
fb-041,"Showing who is currently editing a dashboard would prevent teammates from overwriting each other's changes.",collaboration,mid_market,survey,neutral
fb-042,"Version history saved us after an accidental edit, but comparing two dashboard versions is still difficult.",version_history,enterprise,customer_call,neutral
fb-043,"Please allow project templates to include permissions and notification settings, not just dashboard content.",templates,mid_market,in_app,neutral
fb-044,"Duplicating a project is fast, although the copied alerts remain connected to the original Slack channels.",templates,small_business,support_ticket,negative
fb-045,"The onboarding checklist helped our first admin get started without a call from customer success.",onboarding,small_business,survey,positive
fb-046,"New viewers see too many setup prompts that they cannot act on because they lack admin permissions.",onboarding,enterprise,in_app,negative
fb-047,"The sample data is helpful, but there should be a clear way to remove it once a real source is connected.",onboarding,startup,survey,neutral
fb-048,"A guided import that validates column mappings before upload would reduce mistakes for nontechnical users.",data_imports,small_business,customer_call,neutral
fb-049,"Large CSV imports fail on rows with multiline text, but the error only reports that the file is invalid.",data_imports,mid_market,support_ticket,negative
fb-050,"Please provide a downloadable file of rejected import rows with the exact validation error for each row.",data_imports,enterprise,in_app,neutral
fb-051,"The API documentation has clear examples, but several pagination examples still use the retired cursor format.",developer_platform,startup,community,negative
fb-052,"We need an OpenAPI specification so our platform team can generate and maintain a typed client.",developer_platform,enterprise,customer_call,neutral
fb-053,"Code samples in Python and JavaScript would make the webhook signature guide easier to implement.",developer_platform,small_business,community,neutral
fb-054,"The sandbox environment does not mirror production permissions, so integrations pass testing and fail after launch.",developer_platform,enterprise,support_ticket,negative
fb-055,"Workflow runs sometimes remain in a queued state for twenty minutes even though no other jobs are running.",workflow_execution,mid_market,support_ticket,negative
fb-056,"A cancel button for queued workflow runs would let us correct bad input before compute starts.",workflow_execution,small_business,in_app,neutral
fb-057,"Retrying a failed workflow should preserve the original parameters and show which step is being rerun.",workflow_execution,mid_market,customer_call,neutral
fb-058,"We need concurrency limits per workflow to stop one large backfill from delaying customer-facing jobs.",workflow_execution,enterprise,customer_call,negative
fb-059,"The run log is useful, but timestamps should include milliseconds when debugging race conditions.",logging,mid_market,community,neutral
fb-060,"Streaming logs stop updating after my laptop sleeps and only recover after a full page refresh.",logging,small_business,support_ticket,negative
fb-061,"Please add log search across workflow runs so we can find every occurrence of a specific provider error.",logging,enterprise,in_app,neutral
fb-062,"Downloading logs as plain text would make it easier to attach evidence to incident tickets.",logging,mid_market,survey,neutral
fb-063,"Error messages now include the failed step name, which has noticeably reduced our debugging time.",error_handling,startup,survey,positive
fb-064,"The generic 'execution failed' message hides database authentication errors that operators need to fix.",error_handling,enterprise,support_ticket,negative
fb-065,"We would like alerts based on repeated failures rather than receiving one notification for every failed run.",alerting,mid_market,customer_call,neutral
fb-066,"PagerDuty integration is required before we can use workflow monitoring for production support rotations.",alerting,enterprise,customer_call,negative
fb-067,"The usage page updates only once per day, so we cannot tell whether a backfill is about to exceed our quota.",usage_monitoring,mid_market,support_ticket,negative
fb-068,"Add cost estimates before running a large job so teams can catch an expensive configuration early.",usage_monitoring,enterprise,in_app,neutral
fb-069,"The invoice groups all overage charges together, making internal cost allocation across workspaces impossible.",billing,enterprise,support_ticket,negative
fb-070,"We need purchase-order numbers and billing contacts to appear on downloadable invoices.",billing,mid_market,email,neutral
fb-071,"Seat counts should exclude deactivated users immediately instead of changing at the next billing cycle.",billing,small_business,support_ticket,negative
fb-072,"A read-only billing role would let finance download invoices without granting workspace administration access.",billing,enterprise,customer_call,neutral
fb-073,"Custom roles need field-level restrictions because contractors may view task status but not customer revenue.",permissions,enterprise,customer_call,neutral
fb-074,"Permission changes should take effect without requiring users to sign out and back in.",permissions,mid_market,support_ticket,negative
fb-075,"Inviting users in bulk from a CSV worked well and correctly reported duplicate email addresses.",user_management,mid_market,survey,positive
fb-076,"There is no way to transfer ownership of all projects when an employee leaves the company.",user_management,enterprise,support_ticket,negative
fb-077,"Archived projects still appear in autocomplete results, which causes people to link work to obsolete records.",project_management,mid_market,in_app,negative
fb-078,"We need retention policies that automatically delete project data after a configurable number of days.",data_governance,enterprise,customer_call,neutral
fb-079,"A legal hold should override automated deletion for selected workspaces and leave an audit trail.",data_governance,enterprise,email,neutral
fb-080,"The EU data region is essential for our rollout, but the documentation is unclear about where backups reside.",data_residency,enterprise,customer_call,negative
fb-081,"Please publish a status page component for regional API latency rather than one global availability number.",service_status,enterprise,email,neutral
fb-082,"Yesterday's outage was resolved quickly, but the in-product banner appeared after service had already recovered.",service_status,mid_market,support_ticket,negative
fb-083,"Read-only mode during maintenance would be better than returning errors when users try to open dashboards.",service_status,enterprise,customer_call,negative
fb-084,"The browser interface becomes sluggish after several hours and memory use drops only after reloading the page.",performance,mid_market,support_ticket,negative
fb-085,"Keyboard navigation works in forms, but the dashboard chart menu cannot be opened without a mouse.",accessibility,enterprise,support_ticket,negative
fb-086,"Screen readers announce every chart as 'image' without including the chart title or current value.",accessibility,mid_market,email,negative
fb-087,"The new color palette has better contrast, although selected and unselected filters are still hard to distinguish.",accessibility,small_business,survey,neutral
fb-088,"Please respect the operating system's reduced-motion setting in loading and navigation animations.",accessibility,enterprise,in_app,neutral
fb-089,"Dark mode is comfortable for daily use, but exported charts should default to a light background for documents.",theming,small_business,survey,positive
fb-090,"Custom themes would help us match embedded dashboards to our customer portal branding.",theming,enterprise,customer_call,neutral
fb-091,"Embedding works reliably, but the initial load flashes the full application navigation before hiding it.",embedding,mid_market,support_ticket,negative
fb-092,"We need short-lived signed embed tokens rather than storing a permanent public link in our application.",embedding,enterprise,customer_call,negative
fb-093,"Embedded dashboard filters should be controllable through the JavaScript SDK.",embedding,startup,community,neutral
fb-094,"The React component package reduced our integration time, but it currently pulls in two different charting libraries.",developer_sdk,startup,community,neutral
fb-095,"Natural-language chart creation is promising, though it sometimes chooses a sum when the request clearly asks for unique users.",ai_assistance,small_business,in_app,negative
fb-096,"Please show the generated query before saving an AI-created report so analysts can verify the logic.",ai_assistance,mid_market,survey,neutral
fb-097,"AI summaries should cite the dashboard values they reference instead of presenting conclusions without evidence.",ai_assistance,enterprise,customer_call,neutral
fb-098,"We need a workspace setting to disable AI features for data covered by our internal compliance policy.",ai_governance,enterprise,email,neutral
fb-099,"Support answered our integration question in under an hour and included a working example tailored to our schema.",customer_support,small_business,survey,positive
fb-100,"If export reliability and audit retention are not improved this quarter, we will evaluate alternatives before renewal.",data_exports,enterprise,customer_call,negative
